"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","14","Получение данных о категориях номеров","2","0","Локализация категорий по Accept-Language","0"
"0","","0","Получение мета-информации об отеле","1","0","Получение мета-информации об отеле по корректному UID","0"
"0","","1","Получение данных о тарифах","0","0","Получение данных о тарифах с валидным account_id","0"
"0","","3","Получение данных о категориях номеров","0","0","Получение данных о категориях номеров с валидными параметрами","0"
"0","","0","Получение мета-информации об отеле","1","0","Получение мета-информации об отеле без UID","0"
"0","","4","Получение данных о категориях номеров","0","0","Получение данных о категориях номеров c невалидными параметрами","0"
"0","","0","Получение мета-информации об отеле","3","0","Получение мета-информации об отеле с невалидным UID","0"
"0","","0","Получение данных о тарифах","1","0","Получение данных о тарифах без account_id","0"
"0","","0","Получение данных о категориях номеров","1","0","Получение данных о категориях номеров c несущствующим account_id","0"
"0","","1","Получение данных о тарифах","1","0","Получение данных о тарифах с невалидным account_id","0"
"0","","0","Получение данных о категориях номеров","1","0","Получение данных о категориях номеров без account_id","0"
